,rat,day,trial_type,total_trials,correct_trials
719,BP22,9,1,10.0,9.0
720,BP22,9,2,13.0,12.0
721,BP22,9,3,13.0,10.0
722,BP22,8,1,15.0,12.0
723,BP22,8,2,15.0,12.0
724,BP22,8,3,17.0,14.0
725,BP22,6,1,28.0,26.0
726,BP22,6,2,29.0,24.0
727,BP22,1,1,8.0,4.0
728,BP22,1,2,7.0,3.0
729,BP22,27,1,17.0,13.0
730,BP22,27,2,11.0,11.0
731,BP22,27,3,10.0,9.0
732,BP22,27,4,11.0,11.0
733,BP22,18,1,6.0,6.0
734,BP22,18,2,9.0,9.0
735,BP22,18,3,9.0,6.0
736,BP22,18,4,8.0,5.0
737,BP22,20,1,17.0,16.0
738,BP22,20,2,12.0,11.0
739,BP22,20,3,12.0,11.0
740,BP22,20,4,12.0,11.0
741,BP22,16,1,14.0,14.0
742,BP22,16,2,12.0,11.0
743,BP22,16,3,15.0,12.0
744,BP22,16,4,14.0,11.0
745,BP22,29,1,25.0,22.0
746,BP22,29,2,14.0,13.0
747,BP22,29,3,9.0,7.0
748,BP22,29,4,9.0,9.0
749,BP22,11,1,15.0,12.0
750,BP22,11,2,12.0,12.0
751,BP22,11,3,13.0,12.0
752,BP22,11,4,19.0,15.0
753,BP22,45,1,9.0,9.0
754,BP22,45,2,10.0,6.0
755,BP22,45,3,11.0,5.0
756,BP22,45,4,12.0,5.0
757,BP22,42,1,12.0,12.0
758,BP22,42,2,16.0,14.0
759,BP22,42,3,13.0,10.0
760,BP22,42,4,15.0,10.0
761,BP22,10,1,17.0,16.0
762,BP22,10,2,19.0,18.0
763,BP22,10,3,18.0,18.0
764,BP22,17,1,7.0,6.0
765,BP22,17,2,11.0,5.0
766,BP22,17,3,9.0,4.0
767,BP22,17,4,8.0,4.0
768,BP22,28,1,20.0,14.0
769,BP22,28,2,8.0,5.0
770,BP22,28,3,4.0,1.0
771,BP22,28,4,4.0,4.0
772,BP22,21,1,9.0,8.0
773,BP22,21,2,10.0,7.0
774,BP22,21,3,9.0,9.0
775,BP22,21,4,9.0,8.0
776,BP22,26,1,17.0,13.0
777,BP22,26,2,14.0,13.0
778,BP22,26,3,17.0,17.0
779,BP22,26,4,17.0,17.0
780,BP22,19,1,15.0,12.0
781,BP22,19,2,17.0,16.0
782,BP22,19,3,19.0,16.0
783,BP22,19,4,18.0,15.0
784,BP22,43,1,13.0,10.0
785,BP22,43,2,13.0,12.0
786,BP22,43,3,8.0,8.0
787,BP22,43,4,11.0,8.0
788,BP22,44,1,10.0,10.0
789,BP22,44,2,9.0,9.0
790,BP22,44,3,13.0,6.0
791,BP22,44,4,10.0,6.0
792,BP14,4,1,17.0,17.0
793,BP14,4,2,21.0,19.0
794,BP14,3,1,8.0,8.0
795,BP14,3,2,8.0,5.0
796,BP14,2,1,5.0,5.0
797,BP14,2,2,5.0,1.0
798,BP14,5,1,17.0,16.0
799,BP14,5,2,27.0,19.0
800,BP14,12,1,12.0,12.0
801,BP14,12,2,14.0,11.0
802,BP14,15,1,2.0,2.0
803,BP14,15,2,1.0,0.0
804,BP14,15,3,4.0,2.0
805,BP14,14,1,1.0,1.0
806,BP14,14,2,5.0,4.0
807,BP14,14,3,6.0,4.0
808,BP14,13,1,7.0,7.0
809,BP14,13,2,6.0,5.0
810,BP14,7,1,8.0,7.0
811,BP14,7,2,9.0,6.0
812,BP14,9,1,6.0,5.0
813,BP14,9,2,7.0,4.0
814,BP14,8,1,26.0,26.0
815,BP14,8,2,31.0,24.0
816,BP14,6,1,13.0,12.0
817,BP14,6,2,12.0,8.0
818,BP14,1,1,5.0,5.0
819,BP14,1,2,5.0,1.0
820,BP14,18,1,16.0,16.0
821,BP14,18,2,19.0,17.0
822,BP14,20,1,3.0,3.0
823,BP14,20,2,6.0,6.0
824,BP14,20,3,5.0,3.0
825,BP14,16,1,10.0,10.0
826,BP14,16,2,12.0,8.0
827,BP14,11,1,7.0,7.0
828,BP14,11,2,5.0,3.0
829,BP14,10,1,11.0,11.0
830,BP14,10,2,20.0,14.0
831,BP14,17,1,9.0,9.0
832,BP14,17,2,11.0,10.0
833,BP14,21,1,5.0,5.0
834,BP14,21,2,6.0,3.0
835,BP14,21,3,5.0,2.0
836,BP14,19,1,5.0,5.0
837,BP14,19,2,4.0,3.0
838,BP14,19,3,8.0,3.0
839,BP13,30,1,13.0,12.0
840,BP13,30,2,14.0,12.0
841,BP13,30,3,18.0,14.0
842,BP13,30,4,13.0,12.0
843,BP13,4,1,14.0,13.0
844,BP13,4,2,20.0,16.0
845,BP13,3,1,17.0,17.0
846,BP13,3,2,18.0,14.0
847,BP13,2,1,8.0,3.0
848,BP13,2,2,7.0,5.0
849,BP13,5,1,19.0,19.0
850,BP13,5,2,25.0,16.0
851,BP13,23,1,11.0,11.0
852,BP13,23,2,12.0,11.0
853,BP13,23,3,22.0,19.0
854,BP13,23,4,13.0,11.0
855,BP13,24,1,16.0,16.0
856,BP13,24,2,17.0,16.0
857,BP13,24,3,28.0,20.0
858,BP13,24,4,19.0,18.0
859,BP13,12,1,40.0,40.0
860,BP13,12,2,37.0,29.0
861,BP13,15,1,24.0,24.0
862,BP13,15,2,24.0,21.0
863,BP13,15,3,32.0,14.0
864,BP13,14,1,28.0,28.0
865,BP13,14,2,32.0,32.0
866,BP13,13,1,38.0,38.0
867,BP13,13,2,36.0,33.0
868,BP13,25,1,7.0,6.0
869,BP13,25,2,7.0,5.0
870,BP13,25,3,21.0,17.0
871,BP13,25,4,8.0,6.0
872,BP13,22,1,15.0,15.0
873,BP13,22,2,14.0,14.0
874,BP13,22,3,22.0,14.0
875,BP13,22,4,14.0,11.0
876,BP13,7,1,14.0,12.0
877,BP13,7,2,18.0,11.0
878,BP13,9,1,29.0,24.0
879,BP13,9,2,28.0,18.0
880,BP13,8,1,20.0,19.0
881,BP13,8,2,19.0,15.0
882,BP13,6,1,17.0,17.0
883,BP13,6,2,22.0,15.0
884,BP13,1,1,12.0,3.0
885,BP13,1,2,8.0,5.0
886,BP13,27,1,16.0,16.0
887,BP13,27,2,12.0,9.0
888,BP13,27,3,26.0,18.0
889,BP13,27,4,13.0,12.0
890,BP13,18,1,24.0,24.0
891,BP13,18,2,28.0,27.0
892,BP13,18,3,28.0,23.0
893,BP13,20,1,27.0,27.0
894,BP13,20,2,26.0,24.0
895,BP13,20,3,27.0,11.0
896,BP13,20,4,38.0,35.0
897,BP13,16,1,28.0,28.0
898,BP13,16,2,28.0,26.0
899,BP13,16,3,36.0,27.0
900,BP13,29,1,20.0,20.0
901,BP13,29,2,17.0,16.0
902,BP13,29,3,25.0,20.0
903,BP13,29,4,17.0,16.0
904,BP13,11,1,35.0,35.0
905,BP13,11,2,35.0,29.0
906,BP13,10,1,26.0,25.0
907,BP13,10,2,26.0,22.0
908,BP13,17,1,23.0,23.0
909,BP13,17,2,22.0,19.0
910,BP13,17,3,31.0,27.0
911,BP13,28,1,20.0,20.0
912,BP13,28,2,18.0,15.0
913,BP13,28,3,25.0,17.0
914,BP13,28,4,18.0,16.0
915,BP13,21,1,19.0,19.0
916,BP13,21,2,19.0,18.0
917,BP13,21,3,23.0,14.0
918,BP13,21,4,25.0,23.0
919,BP13,26,1,18.0,18.0
920,BP13,26,2,18.0,16.0
921,BP13,26,3,26.0,15.0
922,BP13,26,4,19.0,16.0
923,BP13,19,1,14.0,14.0
924,BP13,19,2,12.0,12.0
925,BP13,19,3,13.0,8.0
926,BP13,19,4,13.0,12.0
927,TH510,4,1,26.0,26.0
928,TH510,4,2,34.0,26.0
929,TH510,3,1,42.0,41.0
930,TH510,3,2,54.0,38.0
931,TH510,2,1,27.0,27.0
932,TH510,2,2,47.0,26.0
933,TH510,5,1,26.0,26.0
934,TH510,5,2,26.0,22.0
935,TH510,7,1,39.0,37.0
936,TH510,7,2,51.0,38.0
937,TH510,7,3,41.0,38.0
938,TH510,9,1,35.0,32.0
939,TH510,9,2,34.0,32.0
940,TH510,9,3,31.0,31.0
941,TH510,9,4,31.0,30.0
942,TH510,8,1,31.0,30.0
943,TH510,8,2,38.0,30.0
944,TH510,8,3,30.0,29.0
945,TH510,8,4,40.0,33.0
946,TH510,6,1,14.0,14.0
947,TH510,6,2,18.0,16.0
948,TH510,6,3,18.0,15.0
949,TH510,1,1,28.0,19.0
950,TH510,1,2,30.0,16.0
951,BP15,4,1,30.0,26.0
952,BP15,4,2,39.0,28.0
953,BP15,3,1,18.0,18.0
954,BP15,3,2,24.0,22.0
955,BP15,2,1,25.0,24.0
956,BP15,2,2,30.0,24.0
957,BP15,5,1,31.0,30.0
958,BP15,5,2,42.0,27.0
959,BP15,23,1,27.0,23.0
960,BP15,23,2,25.0,20.0
961,BP15,23,3,27.0,19.0
962,BP15,23,4,22.0,21.0
963,BP15,24,1,22.0,22.0
964,BP15,24,2,25.0,20.0
965,BP15,24,3,24.0,19.0
966,BP15,24,4,22.0,20.0
967,BP15,12,1,24.0,21.0
968,BP15,12,2,27.0,25.0
969,BP15,12,3,29.0,22.0
970,BP15,15,1,23.0,20.0
971,BP15,15,2,23.0,21.0
972,BP15,15,3,25.0,20.0
973,BP15,15,4,27.0,23.0
974,BP15,14,1,20.0,17.0
975,BP15,14,2,22.0,20.0
976,BP15,14,3,24.0,20.0
977,BP15,14,4,28.0,19.0
978,BP15,13,1,28.0,24.0
979,BP15,13,2,25.0,25.0
980,BP15,13,3,27.0,24.0
981,BP15,25,1,18.0,18.0
982,BP15,25,2,18.0,16.0
983,BP15,25,3,23.0,19.0
984,BP15,25,4,19.0,19.0
985,BP15,22,1,19.0,18.0
986,BP15,22,2,22.0,19.0
987,BP15,22,3,23.0,20.0
988,BP15,22,4,19.0,17.0
989,BP15,7,1,32.0,32.0
990,BP15,7,2,43.0,36.0
991,BP15,9,1,23.0,19.0
992,BP15,9,2,22.0,22.0
993,BP15,9,3,30.0,19.0
994,BP15,8,1,29.0,27.0
995,BP15,8,2,33.0,29.0
996,BP15,6,1,44.0,35.0
997,BP15,6,2,39.0,33.0
998,BP15,1,1,13.0,12.0
999,BP15,1,2,19.0,9.0
1000,BP15,27,1,20.0,20.0
1001,BP15,27,2,26.0,22.0
1002,BP15,27,3,27.0,21.0
1003,BP15,27,4,21.0,19.0
1004,BP15,18,1,21.0,21.0
1005,BP15,18,2,22.0,18.0
1006,BP15,18,3,21.0,18.0
1007,BP15,18,4,21.0,18.0
1008,BP15,20,1,19.0,17.0
1009,BP15,20,2,27.0,20.0
1010,BP15,20,3,23.0,17.0
1011,BP15,20,4,22.0,20.0
1012,BP15,16,1,21.0,19.0
1013,BP15,16,2,19.0,17.0
1014,BP15,16,3,20.0,17.0
1015,BP15,16,4,25.0,20.0
1016,BP15,11,1,24.0,22.0
1017,BP15,11,2,23.0,21.0
1018,BP15,11,3,28.0,21.0
1019,BP15,10,1,23.0,20.0
1020,BP15,10,2,21.0,21.0
1021,BP15,10,3,34.0,22.0
1022,BP15,17,1,20.0,16.0
1023,BP15,17,2,22.0,16.0
1024,BP15,17,3,18.0,15.0
1025,BP15,17,4,20.0,18.0
1026,BP15,21,1,23.0,18.0
1027,BP15,21,2,23.0,16.0
1028,BP15,21,3,26.0,17.0
1029,BP15,21,4,21.0,19.0
1030,BP15,26,1,18.0,18.0
1031,BP15,26,2,17.0,16.0
1032,BP15,26,3,22.0,17.0
1033,BP15,26,4,16.0,15.0
1034,BP15,19,1,23.0,13.0
1035,BP15,19,2,19.0,16.0
1036,BP15,19,3,17.0,13.0
1037,BP15,19,4,21.0,17.0
1038,TH508,38,1,22.0,22.0
1039,TH508,38,2,29.0,23.0
1040,TH508,38,3,27.0,24.0
1041,TH508,38,4,28.0,23.0
1042,TH508,31,1,5.0,4.0
1043,TH508,31,2,5.0,5.0
1044,TH508,31,3,5.0,4.0
1045,TH508,31,4,4.0,3.0
1046,TH508,36,1,21.0,21.0
1047,TH508,36,2,24.0,20.0
1048,TH508,36,3,21.0,14.0
1049,TH508,36,4,24.0,17.0
1050,TH508,37,1,21.0,21.0
1051,TH508,37,2,29.0,23.0
1052,TH508,37,3,31.0,23.0
1053,TH508,37,4,25.0,20.0
1054,TH508,30,1,27.0,22.0
1055,TH508,30,2,27.0,21.0
1056,TH508,30,3,27.0,15.0
1057,TH508,30,4,27.0,22.0
1058,TH508,4,1,42.0,41.0
1059,TH508,4,2,54.0,40.0
1060,TH508,3,1,37.0,37.0
1061,TH508,3,2,47.0,35.0
1062,TH508,2,1,6.0,6.0
1063,TH508,2,2,14.0,10.0
1064,TH508,5,1,42.0,42.0
1065,TH508,5,2,65.0,39.0
1066,TH508,23,1,24.0,19.0
1067,TH508,23,2,29.0,23.0
1068,TH508,23,3,27.0,20.0
1069,TH508,23,4,33.0,24.0
1070,TH508,24,1,28.0,28.0
1071,TH508,24,2,32.0,23.0
1072,TH508,24,3,29.0,25.0
1073,TH508,24,4,33.0,26.0
1074,TH508,12,1,41.0,29.0
1075,TH508,12,2,42.0,35.0
1076,TH508,15,1,38.0,26.0
1077,TH508,15,2,34.0,27.0
1078,TH508,14,1,43.0,30.0
1079,TH508,14,2,40.0,33.0
1080,TH508,13,1,57.0,36.0
1081,TH508,13,2,56.0,46.0
1082,TH508,25,1,18.0,17.0
1083,TH508,25,2,29.0,18.0
1084,TH508,25,3,31.0,17.0
1085,TH508,25,4,17.0,17.0
1086,TH508,22,1,4.0,4.0
1087,TH508,22,2,4.0,2.0
1088,TH508,22,3,4.0,3.0
1089,TH508,22,4,2.0,2.0
1090,TH508,35,1,26.0,25.0
1091,TH508,35,2,27.0,21.0
1092,TH508,35,3,26.0,25.0
1093,TH508,35,4,27.0,21.0
1094,TH508,32,1,21.0,18.0
1095,TH508,32,2,22.0,14.0
1096,TH508,32,3,22.0,10.0
1097,TH508,32,4,22.0,20.0
1098,TH508,33,1,20.0,15.0
1099,TH508,33,2,23.0,16.0
1100,TH508,33,3,23.0,11.0
1101,TH508,33,4,21.0,15.0
1102,TH508,34,1,24.0,22.0
1103,TH508,34,2,24.0,14.0
1104,TH508,34,3,23.0,21.0
1105,TH508,34,4,24.0,18.0
1106,TH508,7,1,28.0,27.0
1107,TH508,7,2,39.0,25.0
1108,TH508,9,1,36.0,33.0
1109,TH508,9,2,36.0,24.0
1110,TH508,8,1,24.0,24.0
1111,TH508,8,2,23.0,16.0
1112,TH508,6,1,29.0,29.0
1113,TH508,6,2,39.0,32.0
1114,TH508,1,1,24.0,22.0
1115,TH508,1,2,42.0,21.0
1116,TH508,27,1,10.0,10.0
1117,TH508,27,2,17.0,7.0
1118,TH508,27,3,13.0,8.0
1119,TH508,27,4,15.0,8.0
1120,TH508,18,1,25.0,19.0
1121,TH508,18,2,17.0,14.0
1122,TH508,18,3,28.0,22.0
1123,TH508,20,1,35.0,25.0
1124,TH508,20,2,24.0,18.0
1125,TH508,20,3,35.0,29.0
1126,TH508,16,1,38.0,29.0
1127,TH508,16,2,34.0,32.0
1128,TH508,29,1,33.0,23.0
1129,TH508,29,2,34.0,26.0
1130,TH508,29,3,34.0,30.0
1131,TH508,29,4,33.0,27.0
1132,TH508,11,1,41.0,38.0
1133,TH508,11,2,40.0,32.0
1134,TH508,10,1,28.0,25.0
1135,TH508,10,2,27.0,18.0
1136,TH508,17,1,29.0,21.0
1137,TH508,17,2,29.0,27.0
1138,TH508,17,3,37.0,18.0
1139,TH508,28,1,16.0,15.0
1140,TH508,28,2,16.0,11.0
1141,TH508,28,3,16.0,15.0
1142,TH508,28,4,16.0,10.0
1143,TH508,21,1,29.0,23.0
1144,TH508,21,2,29.0,15.0
1145,TH508,21,3,26.0,20.0
1146,TH508,26,1,9.0,8.0
1147,TH508,26,2,13.0,7.0
1148,TH508,26,3,9.0,7.0
1149,TH508,26,4,11.0,10.0
1150,TH508,19,1,37.0,23.0
1151,TH508,19,2,27.0,16.0
1152,TH508,19,3,38.0,31.0
1153,TH405,31,1,20.0,16.0
1154,TH405,31,2,25.0,20.0
1155,TH405,31,3,22.0,18.0
1156,TH405,31,4,18.0,17.0
1157,TH405,30,1,11.0,6.0
1158,TH405,30,2,9.0,9.0
1159,TH405,30,3,9.0,5.0
1160,TH405,30,4,5.0,5.0
1161,TH405,4,1,24.0,12.0
1162,TH405,4,2,26.0,15.0
1163,TH405,2,1,24.0,17.0
1164,TH405,2,2,24.0,15.0
1165,TH405,5,1,28.0,17.0
1166,TH405,5,2,21.0,18.0
1167,TH405,23,1,21.0,16.0
1168,TH405,23,2,19.0,16.0
1169,TH405,23,3,24.0,19.0
1170,TH405,23,4,26.0,19.0
1171,TH405,24,1,14.0,14.0
1172,TH405,24,2,27.0,13.0
1173,TH405,24,3,21.0,13.0
1174,TH405,24,4,18.0,15.0
1175,TH405,12,1,7.0,7.0
1176,TH405,12,2,11.0,10.0
1177,TH405,12,3,10.0,8.0
1178,TH405,15,1,13.0,12.0
1179,TH405,15,2,13.0,12.0
1180,TH405,15,3,17.0,12.0
1181,TH405,14,1,18.0,18.0
1182,TH405,14,2,22.0,19.0
1183,TH405,14,3,27.0,22.0
1184,TH405,13,1,15.0,12.0
1185,TH405,13,2,12.0,11.0
1186,TH405,13,3,17.0,9.0
1187,TH405,25,1,19.0,19.0
1188,TH405,25,2,18.0,16.0
1189,TH405,25,3,21.0,17.0
1190,TH405,25,4,26.0,17.0
1191,TH405,22,1,14.0,14.0
1192,TH405,22,2,18.0,14.0
1193,TH405,22,3,17.0,15.0
1194,TH405,22,4,14.0,12.0
1195,TH405,35,1,37.0,23.0
1196,TH405,35,2,27.0,27.0
1197,TH405,35,3,31.0,25.0
1198,TH405,35,4,26.0,23.0
1199,TH405,32,1,18.0,13.0
1200,TH405,32,2,16.0,12.0
1201,TH405,32,3,18.0,11.0
1202,TH405,32,4,15.0,14.0
1203,TH405,33,1,18.0,16.0
1204,TH405,33,2,20.0,15.0
1205,TH405,33,3,20.0,18.0
1206,TH405,33,4,21.0,17.0
1207,TH405,34,1,36.0,29.0
1208,TH405,34,2,34.0,30.0
1209,TH405,34,3,31.0,28.0
1210,TH405,34,4,30.0,28.0
1211,TH405,7,1,31.0,31.0
1212,TH405,7,2,33.0,31.0
1213,TH405,9,1,24.0,22.0
1214,TH405,9,2,21.0,18.0
1215,TH405,9,3,31.0,18.0
1216,TH405,8,1,13.0,11.0
1217,TH405,8,2,15.0,14.0
1218,TH405,8,3,32.0,12.0
1219,TH405,6,1,18.0,17.0
1220,TH405,6,2,19.0,19.0
1221,TH405,1,1,19.0,11.0
1222,TH405,1,2,20.0,11.0
1223,TH405,27,1,17.0,15.0
1224,TH405,27,2,20.0,14.0
1225,TH405,27,3,19.0,15.0
1226,TH405,27,4,16.0,14.0
1227,TH405,18,1,15.0,14.0
1228,TH405,18,2,21.0,16.0
1229,TH405,18,3,18.0,16.0
1230,TH405,18,4,32.0,15.0
1231,TH405,20,1,14.0,14.0
1232,TH405,20,2,17.0,16.0
1233,TH405,20,3,16.0,13.0
1234,TH405,20,4,17.0,13.0
1235,TH405,16,1,10.0,7.0
1236,TH405,16,2,12.0,10.0
1237,TH405,16,3,10.0,6.0
1238,TH405,29,1,29.0,24.0
1239,TH405,29,2,28.0,26.0
1240,TH405,29,3,35.0,23.0
1241,TH405,29,4,28.0,24.0
1242,TH405,11,1,19.0,19.0
1243,TH405,11,2,18.0,18.0
1244,TH405,11,3,26.0,18.0
1245,TH405,10,1,4.0,4.0
1246,TH405,10,2,8.0,8.0
1247,TH405,10,3,13.0,4.0
1248,TH405,17,1,26.0,17.0
1249,TH405,17,2,19.0,17.0
1250,TH405,17,3,18.0,14.0
1251,TH405,17,4,30.0,17.0
1252,TH405,28,1,17.0,17.0
1253,TH405,28,2,23.0,15.0
1254,TH405,28,3,20.0,17.0
1255,TH405,28,4,19.0,16.0
1256,TH405,21,1,5.0,5.0
1257,TH405,21,2,10.0,4.0
1258,TH405,21,3,9.0,5.0
1259,TH405,21,4,5.0,5.0
1260,TH405,26,1,17.0,13.0
1261,TH405,26,2,17.0,12.0
1262,TH405,26,3,15.0,15.0
1263,TH405,26,4,21.0,14.0
1264,TH405,19,1,22.0,22.0
1265,TH405,19,2,28.0,21.0
1266,TH405,19,3,37.0,25.0
1267,TH405,19,4,32.0,21.0
1268,TH608,31,1,24.0,24.0
1269,TH608,31,2,26.0,25.0
1270,TH608,31,3,35.0,21.0
1271,TH608,31,4,27.0,22.0
1272,TH608,36,1,22.0,20.0
1273,TH608,36,2,23.0,15.0
1274,TH608,36,3,35.0,14.0
1275,TH608,36,4,22.0,21.0
1276,TH608,30,1,14.0,14.0
1277,TH608,30,2,14.0,11.0
1278,TH608,30,3,15.0,12.0
1279,TH608,30,4,14.0,12.0
1280,TH608,4,1,14.0,14.0
1281,TH608,4,2,13.0,12.0
1282,TH608,4,3,31.0,10.0
1283,TH608,2,1,15.0,15.0
1284,TH608,2,2,18.0,16.0
1285,TH608,5,1,19.0,15.0
1286,TH608,5,2,17.0,15.0
1287,TH608,5,3,21.0,14.0
1288,TH608,23,1,19.0,19.0
1289,TH608,23,2,33.0,29.0
1290,TH608,23,3,19.0,9.0
1291,TH608,23,4,26.0,24.0
1292,TH608,24,1,13.0,13.0
1293,TH608,24,2,15.0,12.0
1294,TH608,24,3,24.0,8.0
1295,TH608,24,4,18.0,17.0
1296,TH608,12,1,17.0,16.0
1297,TH608,12,2,20.0,17.0
1298,TH608,12,3,25.0,19.0
1299,TH608,15,1,15.0,15.0
1300,TH608,15,2,23.0,16.0
1301,TH608,15,3,21.0,15.0
1302,TH608,15,4,29.0,13.0
1303,TH608,14,1,15.0,15.0
1304,TH608,14,2,20.0,17.0
1305,TH608,14,3,18.0,14.0
1306,TH608,13,1,22.0,22.0
1307,TH608,13,2,22.0,21.0
1308,TH608,13,3,26.0,20.0
1309,TH608,25,1,22.0,22.0
1310,TH608,25,2,29.0,26.0
1311,TH608,25,3,43.0,25.0
1312,TH608,25,4,21.0,20.0
1313,TH608,22,1,18.0,18.0
1314,TH608,22,2,20.0,9.0
1315,TH608,22,3,42.0,32.0
1316,TH608,22,4,20.0,13.0
1317,TH608,35,1,18.0,18.0
1318,TH608,35,2,16.0,12.0
1319,TH608,35,3,36.0,25.0
1320,TH608,35,4,17.0,14.0
1321,TH608,32,1,14.0,14.0
1322,TH608,32,2,15.0,13.0
1323,TH608,32,3,22.0,12.0
1324,TH608,32,4,17.0,14.0
1325,TH608,33,1,16.0,16.0
1326,TH608,33,2,17.0,14.0
1327,TH608,33,3,26.0,15.0
1328,TH608,33,4,17.0,15.0
1329,TH608,34,1,15.0,15.0
1330,TH608,34,2,16.0,13.0
1331,TH608,34,3,34.0,24.0
1332,TH608,34,4,16.0,13.0
1333,TH608,7,1,20.0,20.0
1334,TH608,7,2,22.0,20.0
1335,TH608,7,3,33.0,16.0
1336,TH608,9,1,13.0,12.0
1337,TH608,9,2,13.0,11.0
1338,TH608,9,3,35.0,29.0
1339,TH608,8,1,17.0,17.0
1340,TH608,8,2,18.0,16.0
1341,TH608,8,3,39.0,23.0
1342,TH608,6,1,17.0,17.0
1343,TH608,6,2,17.0,16.0
1344,TH608,6,3,28.0,13.0
1345,TH608,1,1,21.0,18.0
1346,TH608,1,2,16.0,14.0
1347,TH608,27,1,11.0,11.0
1348,TH608,27,2,14.0,12.0
1349,TH608,27,3,31.0,25.0
1350,TH608,27,4,22.0,15.0
1351,TH608,18,1,18.0,18.0
1352,TH608,18,2,28.0,27.0
1353,TH608,18,3,35.0,19.0
1354,TH608,18,4,21.0,17.0
1355,TH608,20,1,18.0,18.0
1356,TH608,20,2,18.0,16.0
1357,TH608,20,3,23.0,10.0
1358,TH608,20,4,22.0,20.0
1359,TH608,16,1,14.0,14.0
1360,TH608,16,2,15.0,11.0
1361,TH608,16,3,17.0,10.0
1362,TH608,16,4,18.0,10.0
1363,TH608,29,1,21.0,21.0
1364,TH608,29,2,23.0,18.0
1365,TH608,29,3,25.0,18.0
1366,TH608,29,4,20.0,19.0
1367,TH608,11,1,17.0,17.0
1368,TH608,11,2,25.0,20.0
1369,TH608,11,3,27.0,17.0
1370,TH608,10,1,22.0,22.0
1371,TH608,10,2,23.0,16.0
1372,TH608,10,3,36.0,24.0
1373,TH608,17,1,16.0,15.0
1374,TH608,17,2,12.0,8.0
1375,TH608,17,3,25.0,14.0
1376,TH608,17,4,24.0,19.0
1377,TH608,28,1,22.0,22.0
1378,TH608,28,2,29.0,23.0
1379,TH608,28,3,35.0,21.0
1380,TH608,28,4,28.0,24.0
1381,TH608,21,1,19.0,17.0
1382,TH608,21,2,19.0,10.0
1383,TH608,21,3,42.0,27.0
1384,TH608,21,4,20.0,17.0
1385,TH608,26,1,13.0,13.0
1386,TH608,26,2,16.0,11.0
1387,TH608,26,3,33.0,25.0
1388,TH608,26,4,15.0,5.0
1389,TH608,19,1,9.0,9.0
1390,TH608,19,2,8.0,7.0
1391,TH608,19,3,30.0,23.0
1392,TH608,19,4,10.0,7.0
1393,BP21,38,1,17.0,15.0
1394,BP21,38,2,13.0,11.0
1395,BP21,38,3,12.0,12.0
1396,BP21,38,4,12.0,11.0
1397,BP21,31,1,12.0,10.0
1398,BP21,31,2,12.0,11.0
1399,BP21,31,3,13.0,11.0
1400,BP21,31,4,13.0,12.0
1401,BP21,36,1,9.0,8.0
1402,BP21,36,2,9.0,3.0
1403,BP21,36,3,17.0,15.0
1404,BP21,36,4,17.0,15.0
1405,BP21,53,1,10.0,10.0
1406,BP21,53,2,10.0,10.0
1407,BP21,53,3,11.0,11.0
1408,BP21,53,4,14.0,12.0
